Stock,Signal,Entry,date
BBCA.JK,SELL,,2026-05-04
BBRI.JK,SELL,,2026-05-04
TLKM.JK,SELL,,2026-05-04
BMRI.JK,SELL,,2026-05-04
ASII.JK,SELL,,2026-05-04
BBCA.JK,SELL,,2026-05-04
BBRI.JK,SELL,,2026-05-04
TLKM.JK,SELL,,2026-05-04
BMRI.JK,SELL,,2026-05-04
ASII.JK,SELL,,2026-05-04
BBCA.JK,SELL,5850.0,2026-05-04
BBRI.JK,SELL,2990.0,2026-05-04
TLKM.JK,SELL,2810.0,2026-05-04
BMRI.JK,SELL,4390.0,2026-05-04
ASII.JK,SELL,5975.0,2026-05-04
BBCA.JK,SELL,5850.0,2026-05-04
BBRI.JK,SELL,2990.0,2026-05-04
TLKM.JK,SELL,2810.0,2026-05-04
BMRI.JK,SELL,4390.0,2026-05-04
ASII.JK,SELL,5975.0,2026-05-04
BBRI.JK,SELL,2990.0,2026-05-04
TLKM.JK,SELL,2810.0,2026-05-04
BBCA.JK,SELL,5900.0,2026-05-04
BBRI.JK,SELL,3040.0,2026-05-04
TLKM.JK,SELL,2890.0,2026-05-04
BMRI.JK,SELL,4420.0,2026-05-04
ASII.JK,SELL,5783.0,2026-05-04
